No.,Time,Source,Destination,Protocol,Length,Info
92318,614.680568,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP1063/PCSE00527_00/QwbOml1HMzaDQL6QdTPh2cJT3uM1n60Q.png?country=us HTTP/1.1 
92354,614.727189,23.205.106.188,192.168.137.174,HTTP,141,HTTP/1.1 200 OK  (PNG)
92375,614.797543,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP1063/PCSE00527_00/9z4tKDWVaAfDQ0L552icvNwnQeUE8ySh.png?country=us HTTP/1.1 
92457,617.591141,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP1063/PCSE00527_00/Ap09uh1HoDeZJScwiWBD0CUzx25x3s2F.png?country=us HTTP/1.1 
92498,617.642525,23.205.106.152,192.168.137.174,HTTP,707,HTTP/1.1 200 OK  (PNG)
92572,618.338969,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/c/cfeee94c7440516394ecba7609838c4ca9c4f987-1046996.png?country=us HTTP/1.1 
92591,618.382588,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP1063-PCSE00527_00-HOTARU0000000000-U002 HTTP/1.1 
92638,618.427,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
92837,618.720063,104.121.100.150,192.168.137.174,HTTP,451,HTTP/1.1 200 OK  (PNG)
92862,618.903331,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/b/bd4a6b017f259a7678b0fd3bf2638c2928cdd4e8-1046995.png?country=us HTTP/1.1 
93097,619.052741,104.121.100.150,192.168.137.174,HTTP,338,HTTP/1.1 200 OK  (PNG)
93111,619.234593,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/8/8de9f2d1231016f13d96ff7ffb6897130b26b649-1046994.png?country=us HTTP/1.1 
93266,619.352356,104.121.100.150,192.168.137.174,HTTP,1296,HTTP/1.1 200 OK  (PNG)
93277,619.48857,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/5/56665c69fd04a0bec6df9354218f993781c4577b-1046993.png?country=us HTTP/1.1 
93452,619.857857,104.121.100.150,192.168.137.174,HTTP,260,HTTP/1.1 200 OK  (PNG)
93530,623.024966,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP1063-PCSE00527_00-UVI0000000000243-U099 HTTP/1.1 
93533,623.053323,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
93639,625.724593,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP1063-PCSE00527_00-UVI0000000000251-U099 HTTP/1.1 
93642,625.75718,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
93702,627.060799,192.168.137.174,23.205.104.45,HTTP,334,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20101&catid=UP1063-PCSE00527_00--STORE HTTP/1.1 
93706,627.100557,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
93764,627.87813,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP4290/PCSE00259_00/H8oAMhlkywGKz8zDdAxdDUwcasRhiMrN.png?country=us HTTP/1.1 
93787,627.911818,23.205.106.152,192.168.137.174,HTTP,414,HTTP/1.1 200 OK  (PNG)
93803,628.164378,192.168.137.174,23.205.104.45,HTTP,334,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20101&catid=UP4395-PCSE00996_00--STORE HTTP/1.1 
