"No.","Time","Source","Destination","Protocol","Length","Info"
"41990","321.976367","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41991","321.976391","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41992","321.984519","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41993","321.984828","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41994","321.987500","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41995","321.987522","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41996","322.005108","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41997","322.005150","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"41998","322.006148","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"41999","322.006148","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42000","322.013947","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42001","322.013947","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42002","322.022328","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42003","322.022378","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42004","322.031252","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42005","322.031252","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42006","322.039753","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42007","322.039803","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42008","322.048855","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42009","322.048855","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42010","322.057346","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42011","322.058301","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42012","322.066168","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42013","322.066168","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42014","322.066590","192.168.137.22","10.0.0.81","UDP","68","9305  >  9305 Len=26"
"42015","322.074357","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42016","322.074394","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42017","322.084196","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42018","322.084196","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42019","322.096837","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42020","322.096882","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42021","322.096893","10.0.0.81","192.168.137.22","UDP","68","9305  >  9305 Len=26"
"42022","322.103953","10.0.0.81","192.168.137.22","UDP","68","9305  >  9305 Len=26"
"42023","322.103978","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42024","322.103990","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42025","322.104990","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42026","322.104990","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42027","322.113604","192.168.137.1","239.255.255.250","SSDP","211","M-SEARCH * HTTP/1.1 "
"42028","322.113989","192.168.137.22","10.0.0.81","UDP","68","9305  >  9305 Len=26"
"42029","322.113989","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42030","322.114299","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42031","322.123196","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42032","322.123235","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42033","322.131703","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42034","322.132360","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42035","322.141774","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42036","322.141808","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42037","322.150056","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42038","322.150056","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42039","322.152261","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42040","322.152284","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42041","322.167516","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42042","322.167516","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42043","322.174404","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42044","322.174430","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42045","322.184274","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42046","322.184274","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42047","322.187738","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42048","322.187758","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42049","322.201820","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42050","322.204642","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42051","322.204663","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42052","322.204756","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42053","322.213662","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42054","322.213662","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42055","322.223444","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42056","322.223469","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42057","322.231345","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42058","322.231345","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42059","322.240102","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42060","322.240130","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42061","322.249182","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42062","322.249182","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42063","322.263228","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42064","322.263256","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42065","322.266476","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42066","322.266476","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42067","322.268835","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42068","322.268859","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42069","322.283966","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42070","322.283966","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42071","322.289386","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42072","322.289431","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42073","322.301480","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42074","322.301836","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42075","322.306216","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42076","322.306261","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42077","322.313940","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42078","322.313940","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42079","322.324502","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42080","322.324529","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42081","322.331147","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42082","322.331535","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42083","322.341336","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42084","322.341359","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42085","322.348795","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42086","322.348795","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42087","322.353342","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42088","322.353366","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42089","322.367240","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42090","322.367240","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42091","322.373422","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42092","322.373445","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42093","322.391115","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42094","322.391140","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42095","322.393235","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42096","322.393235","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
